"","Bedroom","Bathroom","Median_Price"
"1",0,1,560000
"2",0,2,1560000
"3",1,1,380000
"4",1,2,1585250
"5",1,3,1650000
"6",2,1,660000
"7",2,2,785000
"8",2,3,1260000
"9",3,1,857700
"10",3,2,959500
"11",3,3,1287500
"12",3,4,1915900
"13",4,1,1075000
"14",4,2,1140000
"15",4,3,1652500
"16",4,4,2610000
"17",4,5,920000
"18",5,1,1002500
"19",5,2,1350000
"20",5,3,1676500
"21",5,4,2800000
"22",5,5,2569000
"23",5,6,1260000
"24",6,1,1065000
"25",6,2,1591000
"26",6,3,1783000
"27",6,4,2752000
"28",6,6,6500000
"29",7,2,2705000
"30",7,3,1602500
"31",7,4,1796000
"32",8,3,741000
"33",8,4,770000
"34",9,6,751000
"35",9,7,2950000
"36",9,8,760000
"37",10,9,2315000
"38",12,5,710000
