"","Suburb","Bathroom","Car","Bedroom","med_price"
"1","Abbotsford",1,0,2,1050000
"2","Abbotsford",1,0,3,1317500
"3","Abbotsford",1,1,1,470000
"4","Abbotsford",1,1,2,820000
"5","Abbotsford",1,1,3,1265000
"6","Abbotsford",1,2,2,1473000
"7","Abbotsford",1,2,3,1348500
"8","Abbotsford",2,0,3,1315000
"9","Abbotsford",2,0,4,1876000
"10","Abbotsford",2,1,2,985000
"11","Abbotsford",2,1,3,1195000
"12","Abbotsford",2,2,2,1135000
"13","Abbotsford",2,2,3,1152500
"14","Abbotsford",2,2,4,1330000
"15","Abbotsford",3,1,3,1447500
"16","Aberfeldie",1,1,1,380000
"17","Aberfeldie",1,1,2,470000
"18","Aberfeldie",1,1,3,958000
"19","Aberfeldie",1,2,2,1187500
"20","Aberfeldie",2,1,3,1435000
"21","Aberfeldie",2,1,4,1650000
"22","Aberfeldie",2,2,2,1346000
"23","Aberfeldie",2,2,3,1350000
"24","Aberfeldie",2,2,4,1470000
"25","Aberfeldie",2,2,5,1825000
"26","Aberfeldie",2,4,4,2600000
"27","Aberfeldie",3,1,3,1300000
"28","Aberfeldie",3,2,3,1520000
"29","Aberfeldie",3,2,4,1646000
"30","Aberfeldie",3,2,5,2905000
"31","Aberfeldie",3,3,4,1436000
"32","Aberfeldie",4,4,4,3900000
"33","Aberfeldie",4,4,5,1830000
"34","Airport West",1,1,2,522500
"35","Airport West",1,1,3,730000
"36","Airport West",1,2,3,817500
"37","Airport West",1,3,2,650000
"38","Airport West",1,5,3,790000
"39","Airport West",1,6,3,895000
"40","Airport West",2,1,2,540000
"41","Airport West",2,1,3,825000
"42","Airport West",2,1,4,877500
"43","Airport West",2,2,3,720000
"44","Airport West",2,3,4,9e+05
"45","Airport West",2,3,5,1025000
"46","Airport West",2,5,3,1042000
"47","Airport West",2,5,4,1220000
"48","Airport West",3,2,3,810000
"49","Airport West",3,2,6,797500
"50","Airport West",3,3,3,845000
"51","Airport West",3,4,5,773000
"52","Albanvale",1,2,3,506000
"53","Albanvale",1,2,4,560000
"54","Albanvale",1,3,3,555000
"55","Albert Park",1,0,1,713750
"56","Albert Park",1,0,2,1298750
"57","Albert Park",1,1,1,1100000
"58","Albert Park",1,1,2,2110000
"59","Albert Park",1,1,3,1850000
"60","Albert Park",2,0,3,2850000
"61","Albert Park",2,1,3,2140000
"62","Albert Park",2,1,4,3517500
"63","Albert Park",2,2,3,1555000
"64","Albert Park",3,1,4,3200000
